comment,details,metric,comment_4,token,status,description,group,created_at,region,due_date
Metro distribution global documented silver consolidated urban capacity rapid scheduling clear workflow,Amber baseline urban analysis clear inspection amber allocation silver evaluation vector workflow vector reference,829.04,Silver baseline urban inspection amber capacity silver documented urban,%CG-633$,Signal Rapid,Rapid tracking urban operation delta compliance prime,clear,2025-04-03,amber,19/08/2022
Signal operation prime capacity rapid baseline silver capacity metro scheduling,Delta baseline rapid analysis amber consolidated amber distribution north,311.44,Silver planning clear analysis delta reference metro analysis global tracking clear planning north,%UY-432%,Vector,Clear operation vector planning vector reference rapid analysis global capacity silver,signal prime amber,2025-01-28,signal signal,09/08/2022
Signal documented urban consolidated prime consolidated vector tracking vector,Rapid reference vector evaluation rapid planning urban consolidated delta inspection north,1540.59,Rapid planning global distribution prime documented,$FY-638$,Rapid Metro,Vector consolidated vector reference amber baseline signal evaluation global evaluation silver baseline,metro vector,2025-06-09,urban,16/01/2022
Prime operation delta tracking vector compliance amber tracking rapid baseline global documented global,Vector inspection metro evaluation vector workflow global,445.08,Metro planning silver scheduling vector inspection metro capacity global,$EO-745%,Urban,Silver capacity vector operation signal workflow amber allocation metro workflow,signal metro signal,2025-10-10,prime amber,04/10/2022
Global consolidated rapid baseline silver reference rapid,Rapid compliance prime inspection north distribution global inspection,193.8,Prime baseline amber inspection delta scheduling silver analysis clear documented rapid,$ZT-315%,,Urban tracking global tracking global evaluation prime scheduling rapid consolidated urban analysis urban,rapid rapid amber,2025-01-18,urban amber,22/06/2022
Silver capacity north evaluation vector capacity signal baseline clear baseline silver consolidated silver,Global distribution delta analysis north reference,385.11,Global operation urban scheduling silver baseline metro reference clear,$WO-908$,Clear Global Amber,Vector reference clear capacity silver planning urban distribution prime workflow delta,north clear,2025-07-30,,26/08/2022
Global scheduling north distribution rapid scheduling metro baseline metro scheduling metro consolidated,Delta analysis delta distribution north inspection global allocation prime scheduling,1051.75,Amber workflow clear scheduling amber distribution vector analysis,%ZE-825$,Vector,Global evaluation north capacity prime baseline delta capacity amber compliance,prime metro,2025-12-28,global,07/08/2022
Signal analysis metro consolidated signal workflow vector capacity urban baseline urban scheduling delta,North distribution urban scheduling vector capacity prime baseline vector workflow,639.8,Prime evaluation north allocation vector analysis north planning urban planning vector analysis silver,%LZ-751%,Amber Global Amber,Prime planning signal baseline amber allocation amber reference delta,delta rapid delta,2025-12-31,silver,09/09/2022
Amber consolidated urban inspection signal workflow silver allocation rapid workflow prime capacity urban,Amber consolidated metro allocation amber scheduling global capacity global evaluation amber,1360.04,Clear evaluation clear consolidated rapid consolidated vector inspection signal operation delta workflow delta,%VA-829%,Global North Prime,Silver planning vector reference metro analysis delta operation,urban delta signal,2025-04-16,prime clear,01/08/2022
Global evaluation urban distribution silver operation rapid evaluation,North scheduling north tracking vector evaluation clear workflow metro tracking clear consolidated,373.68,Urban operation global workflow global planning rapid analysis rapid distribution urban allocation silver,%BT-379$,Global Prime Metro,Urban compliance signal documented silver planning rapid,silver amber,2025-08-14,vector north clear,12/09/2022
Metro analysis urban baseline rapid workflow clear,Vector compliance clear planning delta inspection vector reference urban,1462.27,Signal planning silver analysis prime capacity amber compliance metro baseline,%YX-667%,Silver Rapid,Vector operation silver reference delta reference vector baseline prime reference vector operation delta,delta rapid,2025-11-13,north global urban,20/01/2022
,North analysis amber inspection prime workflow rapid tracking amber inspection metro tracking amber reference,1522.72,Silver planning signal inspection clear scheduling metro inspection rapid inspection,$XZ-456$,Vector,Global capacity metro planning urban tracking,vector amber,2025-08-03,metro signal delta,01/02/2022
Prime workflow prime scheduling prime consolidated clear scheduling clear tracking silver workflow urban workflow,Global inspection vector operation global inspection,1637.7,,%OH-226%,Prime Silver,Urban tracking global distribution delta workflow vector consolidated north workflow signal,north urban,2025-12-29,amber north,11/01/2022
Rapid documented global baseline vector planning metro scheduling clear tracking,Global tracking delta consolidated signal tracking urban workflow urban capacity signal evaluation rapid tracking,825.97,Delta planning urban inspection global capacity urban,%KX-532%,Global Amber Clear,Metro reference metro capacity delta scheduling silver analysis clear scheduling,silver delta signal,2025-07-07,vector,25/09/2022
Prime scheduling clear baseline delta inspection rapid baseline urban,Delta scheduling north inspection silver operation global evaluation metro documented global inspection delta,169.8,Prime documented clear capacity metro planning,%ZD-717$,,Clear scheduling vector workflow urban tracking amber,clear,2025-04-05,,28/06/2022
Delta compliance amber inspection north scheduling metro,Urban documented vector operation delta inspection global baseline vector reference amber compliance,430.03,Vector operation prime analysis signal inspection vector workflow silver allocation signal evaluation,$SV-548$,Urban,Clear allocation delta documented rapid baseline silver documented prime,prime,2025-12-14,global prime global,25/09/2022
Rapid reference signal tracking prime documented rapid distribution rapid allocation global,Vector consolidated clear consolidated clear evaluation vector planning urban inspection prime analysis,1609.45,Metro inspection amber distribution amber evaluation prime tracking prime inspection silver documented vector,$MP-163$,Prime,Delta analysis north planning north capacity clear,silver prime metro,2025-11-02,rapid vector urban,11/06/2022
Amber allocation urban scheduling north baseline amber inspection vector consolidated global compliance signal,Rapid capacity north operation north compliance clear analysis signal operation signal,1299.62,Metro capacity metro tracking north operation delta analysis,%RO-628%,Clear,Urban analysis urban evaluation north baseline rapid inspection signal allocation prime baseline urban,global,2025-02-24,prime metro urban,02/12/2022
Metro capacity metro scheduling vector tracking signal,Global tracking north capacity metro baseline clear baseline metro consolidated,128.24,Rapid compliance rapid evaluation clear workflow prime operation delta planning metro,%OZ-851%,Clear,Clear baseline rapid workflow urban workflow silver analysis vector capacity silver scheduling,amber clear,2025-08-02,amber clear,04/05/2022
Vector documented clear baseline north documented,North compliance global inspection amber workflow delta analysis,1191.74,Rapid evaluation delta distribution rapid consolidated prime allocation clear,%KW-824$,Urban Silver Rapid,Vector documented global compliance rapid inspection vector planning global compliance vector,delta prime,2025-11-05,,08/07/2022
North allocation north capacity rapid documented vector reference delta baseline,Urban consolidated amber planning north reference delta distribution,302.82,Urban inspection signal capacity rapid allocation global consolidated signal compliance,%VH-591$,Amber Prime,Delta workflow north consolidated north scheduling north consolidated signal capacity vector,north delta metro,2025-05-10,silver global signal,24/12/2022
Urban tracking amber distribution vector scheduling delta reference clear,Urban allocation vector analysis signal inspection rapid reference clear reference vector allocation prime,1704.7,,$LM-258%,,Prime tracking rapid tracking delta documented amber analysis silver operation metro allocation prime,prime vector rapid,2025-09-22,signal amber,21/11/2022
Amber distribution north capacity delta compliance vector inspection,Metro distribution rapid baseline metro inspection clear baseline global compliance urban tracking,808.89,,$EW-016%,Prime,Clear reference urban scheduling amber analysis amber tracking vector scheduling clear allocation delta,vector metro,2025-06-19,vector,17/05/2022
Amber documented vector consolidated silver planning amber operation silver analysis silver workflow,Clear analysis vector documented metro documented north analysis global,1002.4,Global consolidated global inspection silver scheduling prime scheduling delta compliance global distribution prime,%AN-753%,Rapid Metro,Amber evaluation metro planning silver inspection rapid reference urban evaluation clear workflow urban,clear metro,2025-04-02,urban,23/08/2022
Metro workflow metro capacity global workflow metro reference,Vector tracking prime compliance urban reference vector planning metro consolidated signal,,Delta operation global distribution vector evaluation global allocation signal,$WN-784%,Delta Signal,Global workflow metro analysis prime tracking signal workflow amber documented metro allocation,,2025-01-25,north,02/04/2022
North documented prime distribution signal analysis rapid operation amber baseline prime evaluation delta distribution,Prime distribution urban baseline rapid allocation,1758.85,Delta evaluation metro evaluation delta distribution clear planning amber capacity,$KA-910%,North Metro,Metro analysis north reference vector tracking prime planning,clear,2025-06-09,global prime metro,19/08/2022
Amber documented prime planning global planning urban inspection delta consolidated metro compliance global distribution,Urban distribution delta workflow metro consolidated,560.47,Rapid workflow global reference metro analysis,%AG-959$,Prime Urban Rapid,Amber allocation urban capacity metro documented vector baseline prime planning vector scheduling metro tracking,silver,2025-01-14,,
Global analysis amber analysis clear consolidated metro distribution metro baseline urban analysis,Rapid documented amber reference amber scheduling delta operation metro reference signal evaluation amber baseline,1556.29,Clear documented vector planning silver scheduling rapid capacity rapid planning,%JH-788%,Rapid Delta,Signal baseline silver tracking vector compliance rapid distribution urban consolidated delta,,2025-12-03,rapid north delta,14/11/2022
Silver baseline prime capacity delta evaluation,Urban evaluation clear operation vector consolidated silver operation,895.51,Rapid evaluation prime inspection prime tracking north analysis clear,%RA-383%,Vector Clear Metro,Global capacity urban operation signal analysis prime planning delta scheduling,signal north silver,2025-10-17,urban metro metro,05/01/2022
Rapid documented signal allocation clear workflow silver,Silver documented global compliance prime tracking delta,780.15,Amber compliance global reference clear baseline rapid operation silver tracking signal allocation,%JR-330%,Clear Silver,Global allocation signal inspection metro tracking north workflow silver compliance signal capacity global,silver amber prime,2025-11-10,global rapid rapid,15/05/2022
Global documented clear scheduling silver capacity prime planning,Delta documented clear documented north evaluation urban,638.52,North documented north baseline vector distribution silver,$BM-614$,,Global capacity delta scheduling vector capacity metro analysis amber capacity,urban clear,2025-04-17,,07/10/2022
Vector capacity clear capacity silver evaluation north baseline north evaluation global,Rapid evaluation delta reference global inspection vector planning vector distribution delta baseline global documented,840.39,Clear compliance rapid inspection metro reference signal,$HJ-114%,Global,Silver operation metro reference global baseline rapid evaluation,amber,2025-06-16,silver global,18/01/2022
,Prime tracking urban documented rapid planning north consolidated,231.92,Prime analysis delta reference clear documented prime workflow global tracking silver evaluation delta,$XM-599%,North Global North,Urban allocation clear reference rapid scheduling,rapid metro,2025-04-03,vector silver,30/09/2022
Delta inspection north baseline silver analysis prime inspection signal distribution north distribution,Clear tracking clear tracking urban distribution prime,1650.58,Silver reference signal reference silver compliance,$HX-140$,,Vector scheduling urban baseline amber evaluation rapid,metro,2025-11-07,silver global,11/08/2022
Signal documented urban workflow signal consolidated rapid scheduling delta reference urban,Clear scheduling urban allocation prime consolidated amber planning urban workflow vector distribution signal analysis,1089.14,Clear distribution delta analysis delta compliance global,%NQ-807%,Clear,Silver baseline amber operation silver analysis,north,2025-10-06,signal silver,19/05/2022
Clear consolidated signal scheduling delta workflow urban inspection rapid scheduling silver reference silver consolidated,Prime workflow delta workflow rapid workflow north,775.47,Global inspection vector tracking rapid operation vector analysis north baseline clear,$OR-571%,Clear,Delta tracking signal consolidated metro capacity signal consolidated delta documented,north signal,2025-06-24,vector north,24/04/2022
Clear baseline clear planning urban planning prime operation rapid reference,Urban workflow prime consolidated rapid baseline silver inspection prime reference rapid consolidated rapid,837.85,Delta inspection amber analysis signal inspection rapid scheduling north,$TW-095$,,Silver baseline global reference rapid compliance vector tracking north reference metro baseline north baseline,delta urban urban,2025-09-11,global amber,03/01/2022
Global evaluation rapid scheduling metro consolidated metro documented north distribution,Metro operation amber reference amber workflow signal consolidated prime operation amber capacity clear inspection,958.8,Urban reference amber evaluation clear reference clear,%TS-951%,Clear Rapid Signal,Global planning global consolidated signal distribution amber evaluation clear,clear silver,2025-09-14,vector,
Vector operation prime documented north capacity signal workflow north operation vector evaluation urban,Urban evaluation vector consolidated urban baseline rapid scheduling amber,227.56,Global consolidated delta evaluation rapid tracking,%JB-733$,Global Silver,Vector consolidated metro documented amber distribution urban baseline clear distribution silver,rapid,2025-05-27,north rapid prime,
Rapid reference urban operation north compliance prime workflow silver operation amber analysis prime baseline,Urban consolidated silver allocation signal tracking amber tracking delta documented,1631.69,Clear capacity delta scheduling north baseline vector consolidated delta,$XM-662$,Amber Urban Signal,Metro inspection silver scheduling signal evaluation north distribution,clear,2025-02-18,amber amber rapid,06/10/2022
Global allocation prime consolidated urban analysis signal scheduling vector consolidated metro compliance,Delta documented clear consolidated vector workflow delta planning global reference signal baseline,750.81,Urban compliance metro baseline amber analysis north,$YJ-492$,Signal Delta Signal,Clear reference global allocation global consolidated global distribution delta baseline rapid evaluation,global,2025-10-30,delta rapid,30/03/2022
Amber operation north allocation north allocation clear capacity delta,Silver evaluation urban inspection urban analysis north inspection rapid,525.43,Silver documented amber distribution metro operation global evaluation urban baseline clear distribution signal,%IU-726$,Urban,North distribution clear operation prime consolidated,clear metro,2025-06-20,metro,01/04/2022
Silver compliance metro reference urban planning signal operation vector analysis amber workflow,Amber capacity urban evaluation delta documented urban inspection rapid analysis prime,794.99,Clear planning global scheduling urban allocation silver tracking,$TB-651$,Vector Amber,Amber distribution clear operation vector capacity rapid planning signal operation vector,north prime north,2025-01-03,clear global,22/08/2022
,Urban scheduling silver operation urban scheduling global consolidated delta inspection clear planning signal,111.08,North inspection delta allocation vector analysis amber evaluation prime distribution silver scheduling prime,$AI-658%,Amber Prime Metro,Clear documented silver tracking north documented rapid analysis clear tracking rapid capacity vector inspection,silver global,2025-03-10,,18/02/2022
Signal consolidated rapid compliance rapid reference signal operation vector,Delta analysis metro allocation prime baseline amber analysis vector workflow silver capacity vector,334.75,,$AM-912%,Signal Vector Clear,Prime inspection clear planning urban planning vector,amber amber,2025-04-10,north,18/12/2022
Delta distribution vector analysis prime operation delta distribution urban baseline clear operation signal,Delta capacity signal capacity vector analysis vector workflow,1754.4,,%IH-606%,Clear Global Global,Prime baseline metro inspection silver tracking amber operation global planning prime inspection delta,clear delta,2025-11-28,north amber,16/06/2022
,Amber distribution urban workflow urban inspection vector inspection vector tracking metro operation global evaluation,1039.78,Metro capacity global inspection metro consolidated vector reference prime,%NM-886$,Vector,Clear reference global scheduling signal planning delta documented amber tracking signal baseline silver consolidated,global clear,2025-03-30,global rapid amber,30/05/2022
Metro distribution global reference amber scheduling signal capacity,Signal distribution vector compliance rapid distribution global consolidated delta workflow,632.71,Signal baseline amber allocation delta compliance vector planning,%DH-157%,Silver,Global operation clear consolidated silver tracking,amber vector amber,2025-04-07,global urban,29/09/2022
Metro operation north baseline clear tracking silver operation rapid documented silver,Clear analysis silver workflow north capacity rapid allocation rapid tracking metro workflow rapid,1320.94,Rapid reference delta workflow silver tracking vector reference vector,%YD-658%,Vector North,Prime inspection rapid allocation clear capacity global operation metro scheduling signal,silver urban,2025-04-12,prime urban silver,26/05/2022
Silver allocation metro documented north documented prime scheduling,Metro compliance metro operation delta allocation silver capacity prime evaluation delta,132.93,Amber reference silver scheduling silver tracking global documented prime planning clear reference,%ZO-790%,Metro Metro,Delta workflow clear tracking delta consolidated metro planning delta baseline signal,vector rapid metro,2025-10-22,silver rapid,10/08/2022
